ExtractionType,PrecipType,SampleID,Replicate,CopyNumber
PCI,Ethanol,1,1,3338
PCI,Ethanol,1,2,3857
PCI,Ethanol,2,1,4282
PCI,Ethanol,2,2,3157
PCI,Ethanol,3,1,4941
PCI,Ethanol,3,2,5482
PCI,Ethanol,4,1,4020
PCI,Ethanol,4,2,4190
PCI,Ethanol,5,1,4919
PCI,Ethanol,5,2,5238
PCI,Ethanol,6,1,4756
PCI,Ethanol,6,2,5832
PCI,Ethanol,7,1,5547
PCI,Ethanol,7,2,5146
PCI,Ethanol,8,1,6622
PCI,Ethanol,8,2,6675
PCI,Ethanol,9,1,4849
PCI,Ethanol,9,2,5072
PCI,Ethanol,10,1,4443
PCI,Ethanol,10,2,4364
PCI,Isopropanol,1,1,3346
PCI,Isopropanol,1,2,3632
PCI,Isopropanol,2,1,3973
PCI,Isopropanol,2,2,3874
PCI,Isopropanol,3,1,4703
PCI,Isopropanol,3,2,3776
PCI,Isopropanol,4,1,3308
PCI,Isopropanol,4,2,3437
PCI,Isopropanol,5,1,2396
PCI,Isopropanol,5,2,2808
PCI,Isopropanol,6,1,4453
PCI,Isopropanol,6,2,3581
PCI,Isopropanol,7,1,5261
PCI,Isopropanol,7,2,5778
PCI,Isopropanol,8,1,6345
PCI,Isopropanol,8,2,6378
PCI,Isopropanol,9,1,5358
PCI,Isopropanol,9,2,6706
PCI,Isopropanol,10,1,3593
PCI,Isopropanol,10,2,3174
CI,Ethanol,1,1,3437
CI,Ethanol,1,2,4209
CI,Ethanol,2,1,3794
CI,Ethanol,2,2,3429
CI,Ethanol,3,1,2849
CI,Ethanol,3,2,3350
CI,Ethanol,4,1,5425
CI,Ethanol,4,2,5587
CI,Ethanol,5,1,4565
CI,Ethanol,5,2,8834
CI,Ethanol,6,1,5061
CI,Ethanol,6,2,4853
CI,Ethanol,7,1,3597
CI,Ethanol,7,2,3137
CI,Ethanol,8,1,6129
CI,Ethanol,8,2,5990
CI,Ethanol,9,1,2778
CI,Ethanol,9,2,3167
CI,Ethanol,10,1,1654
CI,Ethanol,10,2,2376
CI,Isopropanol,1,1,2615
CI,Isopropanol,1,2,2342
CI,Isopropanol,2,1,2962
CI,Isopropanol,2,2,2913
CI,Isopropanol,3,1,3666
CI,Isopropanol,3,2,3674
CI,Isopropanol,4,1,4983
CI,Isopropanol,4,2,5219
CI,Isopropanol,5,1,4558
CI,Isopropanol,5,2,5007
CI,Isopropanol,6,1,3074
CI,Isopropanol,6,2,2984
CI,Isopropanol,7,1,3597
CI,Isopropanol,7,2,3137
CI,Isopropanol,8,1,3599
CI,Isopropanol,8,2,3587
CI,Isopropanol,9,1,3204
CI,Isopropanol,9,2,3525
CI,Isopropanol,10,1,5056
CI,Isopropanol,10,2,5048
