FilterType,ExtractionType,SampleID,Replicate,CopyNumber
GMF,MoBioPowerWater,1,1,9157
GMF,MoBioPowerWater,1,2,6572
GMF,MoBioPowerWater,2,1,4827
GMF,MoBioPowerWater,2,2,5034
GMF,MoBioPowerWater,3,1,4981
GMF,MoBioPowerWater,3,2,5230
GMF,MoBioPowerWater,4,1,5565
GMF,MoBioPowerWater,4,2,5661
GMF,MoBioPowerWater,5,1,4887
GMF,MoBioPowerWater,5,2,5428
GMF,MoBioPowerWater,6,1,5757
GMF,MoBioPowerWater,6,2,5046
GMF,MoBioPowerWater,7,1,5593
GMF,MoBioPowerWater,7,2,6078
GMF,MoBioPowerWater,8,1,5422
GMF,MoBioPowerWater,8,2,6466
GMF,MoBioPowerWater,9,1,5687
GMF,MoBioPowerWater,9,2,NA
GMF,MoBioPowerWater,10,1,5486
GMF,MoBioPowerWater,10,2,4430
GMF,PCI,1,1,5174
GMF,PCI,1,2,6260
GMF,PCI,2,1,3652
GMF,PCI,2,2,NA
GMF,PCI,3,1,2760
GMF,PCI,3,2,2353
GMF,PCI,4,1,1750
GMF,PCI,4,2,1703
GMF,PCI,5,1,2000
GMF,PCI,5,2,2267
GMF,PCI,6,1,1880
GMF,PCI,6,2,1894
GMF,PCI,7,1,844
GMF,PCI,7,2,841
GMF,PCI,8,1,1682
GMF,PCI,8,2,1630
GMF,PCI,9,1,1105
GMF,PCI,9,2,991
GMF,PCI,10,1,2035
GMF,PCI,10,2,2422
CN,QiagenDNeasy,1,1,3815
CN,QiagenDNeasy,1,2,3291
CN,QiagenDNeasy,2,1,2001
CN,QiagenDNeasy,2,2,1888
CN,QiagenDNeasy,3,1,2273
CN,QiagenDNeasy,3,2,NA
CN,QiagenDNeasy,4,1,4104
CN,QiagenDNeasy,4,2,3150
CN,QiagenDNeasy,5,1,1946
CN,QiagenDNeasy,5,2,2081
CN,QiagenDNeasy,6,1,2260
CN,QiagenDNeasy,6,2,2269
CN,QiagenDNeasy,7,1,4843
CN,QiagenDNeasy,7,2,6945
CN,QiagenDNeasy,8,1,3645
CN,QiagenDNeasy,8,2,2930
CN,QiagenDNeasy,9,1,4944
CN,QiagenDNeasy,9,2,5002
CN,QiagenDNeasy,10,1,4593
CN,QiagenDNeasy,10,2,5138
CN,PCI,1,1,12041
CN,PCI,1,2,14030
CN,PCI,2,1,15637
CN,PCI,2,2,13074
CN,PCI,3,1,NA
CN,PCI,3,2,14583
CN,PCI,4,1,15641
CN,PCI,4,2,17613
CN,PCI,5,1,14429
CN,PCI,5,2,12259
CN,PCI,6,1,15467
CN,PCI,6,2,11130
CN,PCI,7,1,16281
CN,PCI,7,2,12113
CN,PCI,8,1,11357
CN,PCI,8,2,11401
CN,PCI,9,1,10108
CN,PCI,9,2,7462
CN,PCI,10,1,9544
CN,PCI,10,2,9729
