PreservationBuffer,Temperature,Duration,SampleID,CopyNumber
CTAB,-20,0,1,1646.5
CTAB,-20,0,2,1364.5
CTAB,-20,0,3,1428.5
CTAB,-20,0,4,864.5
CTAB,-20,0,5,1653.5
CTAB,-20,1,1,1990.5
CTAB,-20,1,2,2332.5
CTAB,-20,1,3,2428.5
CTAB,-20,1,4,1954
CTAB,-20,1,5,1792.5
CTAB,-20,2,1,2385
CTAB,-20,2,2,2189
CTAB,-20,2,3,2352
CTAB,-20,2,4,1778.5
CTAB,-20,2,5,1498.5
CTAB,20,0,1,1646.5
CTAB,20,0,2,1364.5
CTAB,20,0,3,1428.5
CTAB,20,0,4,864.5
CTAB,20,0,5,1653.5
CTAB,20,1,1,3260
CTAB,20,1,2,3976
CTAB,20,1,3,3677
CTAB,20,1,4,3028
CTAB,20,1,5,3559.5
CTAB,20,2,1,3202
CTAB,20,2,2,4060.5
CTAB,20,2,3,3271
CTAB,20,2,4,3179
CTAB,20,2,5,3452.5
CTAB,45,0,1,1646.5
CTAB,45,0,2,1364.5
CTAB,45,0,3,1428.5
CTAB,45,0,4,864.5
CTAB,45,0,5,1653.5
CTAB,45,1,1,2883.5
CTAB,45,1,2,2479
CTAB,45,1,3,2573
CTAB,45,1,4,3050
CTAB,45,1,5,3214
CTAB,45,2,1,2135.5
CTAB,45,2,2,2812.5
CTAB,45,2,3,2512
CTAB,45,2,4,1624.5
CTAB,45,2,5,1864.5
Longmire's,20,0,1,2771.5
Longmire's,20,0,2,2979
Longmire's,20,0,3,2357.5
Longmire's,20,0,4,2761
Longmire's,20,0,5,2633
Longmire's,20,1,1,2929.5
Longmire's,20,1,2,3780
Longmire's,20,1,3,3337
Longmire's,20,1,4,3241.5
Longmire's,20,1,5,2670.5
Longmire's,20,2,1,1689.5
Longmire's,20,2,2,3888
Longmire's,20,2,3,3594
Longmire's,20,2,4,5522.5
Longmire's,20,2,5,4382.5
Longmire's,45,0,1,2771.5
Longmire's,45,0,2,2979
Longmire's,45,0,3,2357.5
Longmire's,45,0,4,2761
Longmire's,45,0,5,2633
Longmire's,45,1,1,3387.5
Longmire's,45,1,2,3296.5
Longmire's,45,1,3,3188
Longmire's,45,1,4,3022.5
Longmire's,45,1,5,3898.5
Longmire's,45,2,1,3879.5
Longmire's,45,2,2,3820
Longmire's,45,2,3,3456.5
Longmire's,45,2,4,3376
Longmire's,45,2,5,3795
